raw_SMILES,reaxys_id,SMILES,cas_number
CC1=CC(Br)=CS1,1305348,Cc1cc(Br)cs1,29421-92-9
BrC1=NC=C(I)C=C1,109100,Brc1ccc(I)cn1,73290-22-9
BrC1=CC=C2C=CSC2=C1,112710,Brc1ccc2ccsc2c1,17347-32-9
BrC1=NNC=C1,605850,Brc1cc[nH]n1,14521-80-3
OC(=O)C1=CC=C(Br)N=C1,115995,O=C(O)c1ccc(Br)nc1,6311-35-9
COC(=O)C1=CN=C(Br)S1,11211542,COC(=O)c1cnc(Br)s1,0
OC(=O)C1=CSC(Br)=N1,118865,O=C(O)c1csc(Br)n1,5198-88-9
NC1=CC=CN=C1Br,109830,Nc1cccnc1Br,39856-58-1
BrC1=CC(=NC(=C1)C1=NC=CC=C1)C1=CC=CC=N1,5815811,Brc1cc(-c2ccccn2)nc(-c2ccccn2)c1,149817-62-9
BrC1=CC2=C(C=C1)N=CS2,116383,Brc1ccc2ncsc2c1,53218-26-1
COC1=CN=C(Br)C=C1,1447645,COc1ccc(Br)nc1,105170-27-2
NC1=NC=NC2=C1N=C(Br)N2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O,591930,Nc1ncnc2c1nc(Br)n2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,23583-48-4
NC1=C(Br)N=CC(Cl)=N1,13742497,Nc1nc(Cl)cnc1Br,0
OC(=O)C1=CC=CN=C1Br,119024,O=C(O)c1cccnc1Br,35905-85-2
ClC1=NN2C(Br)=CN=C2C=C1,513113,Clc1ccc2ncc(Br)n2n1,13526-66-4
FC(F)(F)C1=NC(Br)=CC=C1,9043724,FC(F)(F)c1cccc(Br)n1,189278-27-1
BrC1=CN=CS1,105732,Brc1cncs1,3034-55-7
CC1=C(Br)C=CC(N)=N1,114140,Cc1nc(N)ccc1Br,42753-71-9
BrC1=CC=CC2=C1C1=CC=CC=C1S2,143018,Brc1cccc2sc3ccccc3c12,65642-94-6
C[Si](C)(C)C#CC1=NC(Br)=CN=C1N,14515698,C[Si](C)(C)C#Cc1nc(Br)cnc1N,875781-41-2
CC1=C(N)N=CC(Br)=C1,386426,Cc1cc(Br)cnc1N,3430-21-5
OC(=O)C1=CC=NC(Br)=C1,471895,O=C(O)c1ccnc(Br)c1,66572-56-3
ClC1=CC=NC2=CC=C(Br)C=C12,125502,Clc1ccnc2ccc(Br)cc12,65340-70-7
BrC1=NC2=C(S1)C=CC=C2,116317,Brc1nc2ccccc2s1,2516-40-7
NC1=NC=C(Br)C=C1C(O)=O,473757,Nc1ncc(Br)cc1C(=O)O,52833-94-0
FC(F)(F)C1=CC=NC(Br)=C1,9477872,FC(F)(F)c1ccnc(Br)c1,175205-81-9
OCC1=NC(Br)=CC=C1,4244033,OCc1cccc(Br)n1,33674-96-3
BrC1=NC2=C(NC=C2)N=C1,14515666,Brc1cnc2[nH]ccc2n1,875781-43-4
BrC1=CN=C(C=C1)C1=NC=CC=C1,126226,Brc1ccc(-c2ccccn2)nc1,15862-19-8
BrC1=CC=CC(=N1)C1=NC=CC=C1,130238,Brc1cccc(-c2ccccn2)n1,10495-73-5
CN1C=NC=C1Br,110510,Cn1cncc1Br,1003-21-0
COC(=O)C1=NC=CC(Br)=C1,473047,COC(=O)c1cc(Br)ccn1,29681-42-3
CC(C)(C)OC(=O)N1C=CC2=C1C=CC(Br)=C2,8549170,CC(C)(C)OC(=O)n1ccc2cc(Br)ccc21,182344-70-3
CC(C)(C)OC(=O)N1CCN(CC1)C1=NC=C(Br)C=N1,18454111,CC(C)(C)OC(=O)N1CCN(c2ncc(Br)cn2)CC1,374930-88-8
COC(=O)C1=CC(Br)=CN=C1Cl,4394169,COC(=O)c1cc(Br)cnc1Cl,78686-79-0
COC1=C2NC=CC2=C(Br)C=N1,9044370,COc1ncc(Br)c2cc[nH]c12,0
CC(=O)C1=CC=C(Br)N=C1,5328913,CC(=O)c1ccc(Br)nc1,139042-59-4
NC1=NC=C(Br)N=C1C(O)=O,147851,Nc1ncc(Br)nc1C(=O)O,486424-37-7
NC1=NC=NC2=C1N=C(Br)N2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,627737,Nc1ncnc2c1nc(Br)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2946-39-6
CCOC(=O)C1=CN=C(Br)S1,138038,CCOC(=O)c1cnc(Br)s1,41731-83-3
CSC1=NC=C(Br)C(=N1)C(O)=O,152578,CSc1ncc(Br)c(C(=O)O)n1,50593-92-5
NC1=C2C(Br)=NNC2=NC=N1,4420172,Nc1ncnc2[nH]nc(Br)c12,83255-86-1
CC1=CC(Br)=CC(C)=N1,108981,Cc1cc(Br)cc(C)n1,5093-70-9
BrC1=NC=CC2=CC=CC=C12,115149,Brc1nccc2ccccc12,1532-71-4
ClS(=O)(=O)C1=CC=C(Br)S1,130711,O=S(=O)(Cl)c1ccc(Br)s1,55854-46-1
CCOC(=O)C1=CC=C(Br)S1,128713,CCOC(=O)c1ccc(Br)s1,5751-83-7
FC1=CC=CN=C1Br,1561637,Fc1cccnc1Br,40273-45-8
CC1=CC(N)=NC=C1Br,114195,Cc1cc(N)ncc1Br,98198-48-2
BrC1=CC2=C(NN=C2)N=C1,11434713,Brc1cnc2[nH]ncc2c1,875781-17-2
CC1=CSC=C1Br,106400,Cc1cscc1Br,30318-99-1
COC(=O)C1=CC(Br)=NC=C1,128656,COC(=O)c1ccnc(Br)c1,26156-48-9
BrC1=NC=CC(=C1)C#N,113942,N#Cc1ccnc(Br)c1,10386-27-3
COC1=NC=C(Br)C=N1,878958,COc1ncc(Br)cn1,14001-66-2
CC(=O)C1=CC=C(Br)C=N1,9899583,CC(=O)c1ccc(Br)cn1,214701-49-2
NC1=CC(Br)=NC=C1,108928,Nc1ccnc(Br)c1,7598-35-8
